Title	URL	Assignees	Status	Labels
RGPD: volet 3 = vérifier l'inactivité et envoi d'un  email	https://github.com/O-clock-Francfort/cines-delices/issues/238	Nathalie-Leduc	Done	Back, Front, NEW, Vendredi
RGPD: volet 2 = mettre à jour au login	https://github.com/O-clock-Francfort/cines-delices/issues/237	Nathalie-Leduc	Done	Back, CORRECTION, Vendredi
RGPD : volet 1 = bandeau cookies	https://github.com/O-clock-Francfort/cines-delices/issues/236	Nathalie-Leduc	Done	Front, Jeudi, NEW
2. Harmonisation des composants UI globaux	https://github.com/O-clock-Francfort/cines-delices/issues/221	vincentduverger-dev	Done	Front
modifier le shema prisma	https://github.com/O-clock-Francfort/cines-delices/issues/217	Nathalie-Leduc	Done	Back, CORRECTION, Jeudi
Déploiement final Render / code d-02	https://github.com/O-clock-Francfort/cines-delices/issues/143	oriannejaunet	Done	DEPLOY, Front, Jeudi
Swagger routes auth (aide + review) / code sw-02b	https://github.com/O-clock-Francfort/cines-delices/issues/167	oriannejaunet	Done	Back, Jeudi, SWAGGER
1. Polish responsive global front	https://github.com/O-clock-Francfort/cines-delices/issues/220	vincentduverger-dev	Done	Front
Seed v3	https://github.com/O-clock-Francfort/cines-delices/issues/209	Nathalie-Leduc	Done	Back, Mercredi, NEW
Swagger routes admin / code sw-04	https://github.com/O-clock-Francfort/cines-delices/issues/159	oriannejaunet	Done	Back, Jeudi, SWAGGER
Tests HTTP back complet / code b-08	https://github.com/O-clock-Francfort/cines-delices/issues/147	oriannejaunet	Done	Back, Jeudi, NEW
Swagger routes TMDB / code sw-05	https://github.com/O-clock-Francfort/cines-delices/issues/160	oriannejaunet	Done	Back, Jeudi, SWAGGER
Swagger routes recettes / code sw-03	https://github.com/O-clock-Francfort/cines-delices/issues/155	oriannejaunet	Done	Back, Jeudi, SWAGGER
Modération recette/ingrédient	https://github.com/O-clock-Francfort/cines-delices/issues/218	oriannejaunet	Done	Back, Jeudi
MemberRecipes.jsx branché API / code f-07	https://github.com/O-clock-Francfort/cines-delices/issues/153	Nathalie-Leduc	Done	CORRECTION, Front, Mercredi
Pages poolitique de confidentialité" et cookies	https://github.com/O-clock-Francfort/cines-delices/issues/215	oriannejaunet	Done	Back, Front, Mercredi
mis een place du multipart pour les img (pas uniquement png mais aussi jpg, jpeg, webp)	https://github.com/O-clock-Francfort/cines-delices/issues/208	oriannejaunet	Done	Back, Mercredi
Refacto général visiteur front css	https://github.com/O-clock-Francfort/cines-delices/issues/205	vincentduverger-dev	Done	Front, Mercredi
Navbar branchée AuthContext / code f-05	https://github.com/O-clock-Francfort/cines-delices/issues/142	Nathalie-Leduc	Done	CORRECTION, Front, Mercredi
